Cliente;Kauan;;
Item;Descritivo;Quantidade;
1;Bobina Slitter GA;1,0;
1;Bobina Slitter GI;1,0;
2;Bobina Transvision;2,0;
3;"GUIA LATERAL EM ""U"" 70x30";0,0;
4;"GUIA LATERAL EM ""U"" 90x30";0,0;
5;"GUIA LATERAL EM ""U"" 100X30";0,0;
6;GUIA TELESC�PICA 65X60;0,0;
7;Metalon 60x40;0,0;
8;Metalon 80x40;0,0;
9;Metalon 100x100;0,0;
10;Metalon 40x40 Soleira especial;0,0;
11;"Tubo4 1/2""";0,0;
12;"Tubo 5""";0,0;
13;"Tubo 5 1/2""";0,0;
14;"Tubo 6""";0,0;
15;"Tubo 8""";0,0;
16;"Tubo 8 1/2""";0,0;
17;Metalon 60x40 Soleira;0,0;
18;SOLEIRA EM T;0,0;
19;CANTONEIRA 10cm;0,0;
20;M�O FRANCESA;0,0;
21;AL�AP�O DE EMERG�NCIA 70cmx70cm;0,0;
22;PORTINHOLA ESQUERDA;0,0;
23;PORTINHOLA DIREITA;0,0;
25;KIT AUTOMATIZADOR PORTA 1 SYSTEG ;0,0;
26;KIT AUTOMATIZADOR PORTA 2 SYSTEG ;0,0;
27;KIT AUTOMATIZADOR PORTA 3 SYSTEG ;0,0;
28;KIT AUTOMATIZADOR PORTA 4 SYSTEG ;0,0;
29;KIT AUTOMATIZADOR PORTA 5 SYSTEG ;0,0;
30;KIT AUTOMATIZADOR AC 1500KG;0,0;
31;KIT AUTOMATIZADOR AC 2000KG;0,0;
33;CONTROLE EXTRAS;0,0;
34;PE�A PLASTICA TRAVA L�MINAS L.E;0,0;
35;PE�A PLASTICA TRAVA L�MINAS L.D;0,0;
36;BORRACHA PARA SOLEIRA;0,0;
37;PERFIL ANTIRUIDO;0,0;
38;PONTEIRA DE BORRACHA PARA SOLEIRA;0,0;
39;TRAVA ANTIQUEDA - PEQUENA;0,0;
40;TRAVA ANTIQUEDA - PEQUENA;0,0;
41;TRAVA ANTIQUEDA - PEQUENA;0,0;
42;TRAVA ANTIQUEDA - PEQUENA;0,0;
43;TRAVA ANTIQUEDA - PEQUENA;0,0;
44;SENSOR ANTIESMAGAMENTO;0,0;
45;COLUNA REMOVIVEL;0,0;
56;PINTURA ELETROST�TICA;0,0;
57;PORTA SOCIAL;0,0;
58;TINTA SPRAY ;0,0;
59;PR�-MONTAGEM SIMPLES;0,0;
60;PR�-MONTAGEM COMPLETA;0,0;
61;;0,0;
;;;
;;;
